[INFO - 2024-01-23 00:07:53,383][__main__] Generating download url for "The Office - s06e13 - Secret Santa.mp4" with Playon Api data
[INFO - 2024-01-23 00:07:53,384][__main__] Attempting retreival of download url data for "The Office - s06e14 - The Banker.mp4"
[INFO - 2024-01-23 00:07:54,234][__main__] Generating download url for "The Office - s06e14 - The Banker.mp4" with Playon Api data
[INFO - 2024-01-23 00:07:54,235][__main__] Attempting retreival of download url data for "The Office - s06e15 - Sabre.mp4"
[INFO - 2024-01-23 00:07:54,645][__main__] Generating download url for "The Office - s06e15 - Sabre.mp4" with Playon Api data
[INFO - 2024-01-23 00:07:54,646][__main__] Attempting retreival of download url data for "The Office - s06e16 - Manager and Salesman.mp4"
[INFO - 2024-01-23 00:07:55,121][__main__] Generating download url for "The Office - s06e16 - Manager and Salesman.mp4" with Playon Api data
[INFO - 2024-01-23 00:07:55,122][__main__] Attempting retreival of download url data for "The Office - s06e17 - The Delivery Part 1.mp4"
[INFO - 2024-01-23 00:07:55,735][__main__] Generating download url for "The Office - s06e17 - The Delivery Part 1.mp4" with Playon Api data
[INFO - 2024-01-23 00:07:55,735][__main__] Attempting retreival of download url data for "The Office - s06e18 - The Delivery Part 2.mp4"
[INFO - 2024-01-23 00:07:56,909][__main__] Generating download url for "The Office - s06e18 - The Delivery Part 2.mp4" with Playon Api data
[INFO - 2024-01-23 00:07:56,911][__main__] Attempting retreival of download url data for "The Office - s06e19 - St. Patrick's Day.mp4"
[INFO - 2024-01-23 00:07:58,779][__main__] Generating download url for "The Office - s06e19 - St. Patrick's Day.mp4" with Playon Api data
[INFO - 2024-01-23 00:07:58,780][__main__] Attempting retreival of download url data for "The Office - s06e20 - New Leads.mp4"
[INFO - 2024-01-23 00:07:59,533][__main__] Generating download url for "The Office - s06e20 - New Leads.mp4" with Playon Api data
[INFO - 2024-01-23 00:07:59,533][__main__] Attempting Download of "The Office - s06e12 - Scott's Tots.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-23 00:07:59,951][__main__] Attempting Download of "The Office - s06e13 - Secret Santa.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-23 00:08:00,329][__main__] Attempting Download of "The Office - s06e14 - The Banker.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-23 00:08:00,691][__main__] Attempting Download of "The Office - s06e15 - Sabre.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-23 00:08:01,079][__main__] Attempting Download of "The Office - s06e16 - Manager and Salesman.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-23 00:08:01,480][__main__] Attempting Download of "The Office - s06e17 - The Delivery Part 1.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-23 00:08:01,861][__main__] Attempting Download of "The Office - s06e18 - The Delivery Part 2.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-23 00:08:06,711][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e18 - The Delivery Part 2.mp4" complete.
